Team,Matches,Won,Lost,Super Over (Tied),No Result,NRR,For,Against,Points,Position in league stage,Final Position
GL,14,9,5,0,0,-0.374,2130/264.3,2285/271.1,18,1,3
RCB,14,8,6,0,0,0.932,2613/270.2,2345/268.3,16,2,2
SRH,14,8,6,0,0,0.245,2082/259.5,2078/267.3,16,3,1
KKR,14,8,6,0,0,0.106,2123/253.2,2121/256.2,16,4,4
MI,14,7,7,0,0,-0.146,2194/272.2,2190/267,14,5,5
DC,14,7,7,0,0,-0.155,2040/259.1,2107/262.3,14,6,6
RPS,14,5,9,0,0,0.015,2025/244.5,1991/241.1,10,7,7
PBKS,14,4,10,0,0,-0.646,2134/269.4,2224/259.5,8,8,8
