Team,Matches,Won,Lost,Super Over (Tied),No Result,NRR,For,Against,Points,Position in league stage,Final Position
SRH,14,9,5,0,0,0.284,2230/273.3,2193/278.4,18,1,2
CSK,14,9,5,0,0,0.253,2488/275.3,2433/277.1,18,2,1
KKR,14,8,6,0,0,-0.07,2363/265.1,2425/270,16,3,3
RR,14,7,7,0,0,-0.25,2130/255.3,2141/249.2,14,4,4
MI,14,6,8,0,0,0.317,2380/278.4,2282/277.3,12,5,5
RCB,14,6,8,0,0,0.129,2322/264.4,2383/275.4,12,6,6
PBKS,14,6,8,0,0,-0.502,2210/268.4,2259/258.5,12,7,7
DC,14,5,9,0,0,-0.222,2297/258,2304/252.3,10,8,8
