Team,Matches,Won,Lost,Super Over (Tied),No Result,NRR,For,Against,Points,Position in league stage,Final Position
CSK,16,11,5,0,0,0.53,2461/303.5,2310/305.1,22,1,2
MI,16,11,5,0,0,0.441,2514/318.1,2350/315,22,2,1
RR,16,10,6,0,0,0.322,2405/310.5,2326/313.4,20,3,3
SRH,16,10,6,0,0,0.003,2166/308.5,2206/314.4,20,4,4
RCB,16,9,7,0,0,0.457,2571/301,2451/303.1,18,5,5
PBKS,16,8,8,0,0,0.226,2428/305.2,2417/312.5,16,6,6
KKR,16,6,10,0,0,-0.095,2290/313.4,2316/313.1,12,7,7
PWI,16,4,12,0,0,-1.006,2262/318.4,2519/310.5,8,8,8
DC,16,3,13,0,0,-0.848,2234/314.5,2436/306.4,6,9,9
