Team,Matches,Won,Lost,Super Over (Tied),No Result,NRR,For,Against,Points,Position in league stage,Final Position
MI,14,10,4,0,0,1.084,2408/277,2100/276,20,1,2
DEC,14,8,6,0,0,-0.297,2188/277.4,2254/275.4,16,2,4
CSK,14,7,7,0,0,0.274,2285/271.1,2257/276.5,14,3,1
RCB,14,7,7,0,0,0.219,2166/260.4,2245/277.3,14,4,3
DC,14,7,7,0,0,0.021,2155/275.4,2166/277.5,14,5,5
KKR,14,7,7,0,0,-0.341,2144/273,2192/267.3,14,6,6
RR,14,6,8,0,0,-0.514,2179/270.4,2224/259.4,12,7,7
PBKS,14,4,10,0,0,-0.478,2278/276.2,2365/271.1,8,8,8
