Team,Matches,Won,Lost,Super Over (Tied),No Result,NRR,For,Against,Points,Position in league stage,Final Position
DC,14,10,4,0,0,0.311,1978/255.2,1953/262.4,20,1,3
CSK,14,8,5,0,1,0.951,2086/255.3,1855/257.1,17,2,3
RCB,14,8,6,0,0,-0.191,1994/276,2027/273.2,16,3,2
DEC,14,7,7,0,0,0.203,2111/272.4,2097/278.1,14,4,1
PBKS,14,7,7,0,0,-0.483,1787/251.2,1887/248.3,14,5,5
RR,14,6,7,0,1,-0.352,1688/253.1,1810/257.5,13,6,6
MI,14,5,8,0,1,0.297,1897/256.2,1802/253.4,11,7,7
KKR,14,3,10,0,1,-0.789,1757/248.5,1867/237.5,7,8,8
