Team,Matches,Won,Lost,Super Over (Tied),No Result,NRR,For,Against,Points,Position in league stage,Final Position
RR,14,11,3,0,0,0.632,2245/261.1,2153/270.2,22,1,1
PBKS,14,10,4,0,0,0.509,2352/259.5,2271/265.5,20,2,3
CSK,14,8,6,0,0,-0.192,2241/264.2,2195/253.1,16,3,2
DC,14,7,6,0,1,0.342,2001/233.2,2031/246.4,15,4,3
MI,14,7,7,0,0,0.57,2080/249.1,2096/269.3,14,5,5
KKR,14,6,7,0,1,-0.147,1845/242.4,1718/221.4,13,6,6
RCB,14,4,10,0,0,-1.16,1983/272.4,2205/261.3,8,7,7
DEC,14,2,12,0,0,-0.467,2229/270.0,2307/264.3,4,8,8
