Team,Matches,Won,Lost,Super Over (Tied),No Result,NRR,For,Against,Points,Position in league stage,Final Position
CSK,14,9,5,0,0,0.709,2262/273.3,2073/274.1,18,1,2
MI,14,8,6,0,0,-0.043,2345/272.4,2371/274.2,16,2,1
RCB,14,7,5,0,2,1.037,1790/191.1,1693/203.2,16,3,3
RR,14,7,5,0,2,0.062,2028/237.3,2002/236.1,16,4,4
KKR,14,7,6,0,1,0.253,2044/236.1,2022/240.4,15,5,5
SRH,14,7,7,0,0,-0.239,2096/255.2,2126/251.4,14,6,6
DC,14,5,8,0,1,-0.049,1981/250.2,1976/248.1,11,7,7
PBKS,14,3,11,0,0,-1.436,2003/270,2286/258.1,6,8,8
